Squad Code,Text
c350e7d5,Dagur-Dan-Thorhallsson-Match-Logs
8e049cbd,Jose-Martinez-Match-Logs
9bf9391c,Wil-Trapp-Match-Logs
d384bddd,Jamiro-Monteiro-Match-Logs
eb343262,Maarten-Paes-Match-Logs
8348b24d,Ray-Gaddis-Match-Logs
c16a59af,Ethan-Finlay-Match-Logs
d899e3bf,Brad-Guzan-Match-Logs
8f2af1ed,Hassani-Dotson-Match-Logs
ad411288,Philip-Quinton-Match-Logs
44cfc681,Nathan-Dylan-Saliba-Match-Logs
cfc68595,Marco-Farfan-Match-Logs
daf8c775,Matheus-Rossetto-Match-Logs
e4b72e34,Miguel-Trauco-Match-Logs
78506575,Rasmus-Alm-Match-Logs
ec730d9a,Russell-Canouse-Match-Logs
3ce30893,Lucas-Zelarayan-Match-Logs
c644e140,Justin-Haak-Match-Logs
fe81682e,Diego-Fagundez-Match-Logs
06caac45,Zac-MacMath-Match-Logs
77986763,Keaton-Parks-Match-Logs
3d14c62e,Javain-Brown-Match-Logs
bd4e3824,Kamil-Jozwiak-Match-Logs
80be3efe,Kemar-Lawrence-Match-Logs
4f8a9f70,Kervin-Arriaga-Match-Logs
f087912d,Adalberto-Carrasquilla-Match-Logs
6adb0b79,Thiago-Match-Logs
7d9b37bf,Corentin-Jean-Match-Logs
897c8066,Obinna-Nwobodo-Match-Logs
467f09c8,Joe-Willis-Match-Logs
2f557579,Lorenzo-Insigne-Match-Logs
f8e95f87,Cade-Cowell-Match-Logs
acd47bc0,Julian-Gressel-Match-Logs
363ba6d7,Luciano-Acosta-Match-Logs
b3b21a11,Andre-Blake-Match-Logs
2375dd75,Mender-Garcia-Match-Logs
