Squad_Code,Squad_Name,Text
fbf2a231,Ilford-FC,Ilford-FC-Match-Logs-All-Competitions
d7006bdf,Ilfracombe-Town-FC,Ilfracombe-Town-FC-Match-Logs-All-Competitions
8b60d748,Ilkeston-Town-FC,Ilkeston-Town-FC-Match-Logs-All-Competitions
12eb2039,Ingolstadt-04,Ingolstadt-04-Match-Logs-All-Competitions
b74092de,Ipswich-Town,Ipswich-Town-Match-Logs-All-Competitions
5e4c7673,Ipswich-Wanderers,Ipswich-Wanderers-Match-Logs-All-Competitions
c4d82458,Irlam-FC,Irlam-FC-Match-Logs-All-Competitions
a36a81ff,Issy,Issy-Match-Logs-All-Competitions
70f96e85,Istres,Istres-Match-Logs-All-Competitions
a1bb1466,J3S-Amilly,J3S-Amilly-Match-Logs-All-Competitions
abd3415b,JA-Armentieres,JA-Armentieres-Match-Logs-All-Competitions
226f57ff,JA-Biarritz,JA-Biarritz-Match-Logs-All-Competitions
46c5732c,JA-Drancy,JA-Drancy-Match-Logs-All-Competitions
5cb328f2,Jahn-Regensburg,Jahn-Regensburg-Match-Logs-All-Competitions
852578d0,Jarrow-Roofing-Boldon-Community-Association-FC,Jarrow-Roofing-Boldon-Community-Association-FC-Match-Logs-All-Competitions
350a27ba,Jarville-JF,Jarville-JF-Match-Logs-All-Competitions
69d91082,Jersey-Bulls-FC,Jersey-Bulls-FC-Match-Logs-All-Competitions
1ad3bd9b,Jeunesse-Evolution,Jeunesse-Evolution-Match-Logs-All-Competitions
11839f67,JSC-Bellevue-Nantes,JSC-Bellevue-Nantes-Match-Logs-All-Competitions
d73494b2,JS-Chemin-Bas-dAvignon,JS-Chemin-Bas-dAvignon-Match-Logs-All-Competitions
07bb3d02,JS-Saint-Pierroise,JS-Saint-Pierroise-Match-Logs-All-Competitions
68bf70d1,JS-Sireuil,JS-Sireuil-Match-Logs-All-Competitions
c803ea89,JS-St-Jean-Beaulieu,JS-St-Jean-Beaulieu-Match-Logs-All-Competitions
3725d4ce,JS-Vieux-Habitants,JS-Vieux-Habitants-Match-Logs-All-Competitions
5498a6ec,Jura-Dolois-Foot,Jura-Dolois-Foot-Match-Logs-All-Competitions
3df0eb96,Jura-Sud-Lavans,Jura-Sud-Lavans-Match-Logs-All-Competitions
5cc94039,KAA-La-Gantoise,KAA-La-Gantoise-Match-Logs-All-Competitions
73a27a73,Kaiserslautern,Kaiserslautern-Match-Logs-All-Competitions
33ba9d7b,Karlsruher,Karlsruher-Match-Logs-All-Competitions
c427cb14,Kendal-Town-FC,Kendal-Town-FC-Match-Logs-All-Competitions
5dc64565,Kennington-FC,Kennington-FC-Match-Logs-All-Competitions
56b7695f,Kensington-and-Ealing-Borough-FC,Kensington-and-Ealing-Borough-FC-Match-Logs-All-Competitions
31a305e0,Kettering-Town,Kettering-Town-Match-Logs-All-Competitions
d360b312,Keynsham-Town-FC,Keynsham-Town-FC-Match-Logs-All-Competitions
cda2e192,Kickers-Offenbach,Kickers-Offenbach-Match-Logs-All-Competitions
fa7569e4,Kidderminster-Harriers,Kidderminster-Harriers-Match-Logs-All-Competitions
d1f3cd8a,Kidlington-FC,Kidlington-FC-Match-Logs-All-Competitions
8d6cd286,Kidsgrove-Athletic-FC,Kidsgrove-Athletic-FC-Match-Logs-All-Competitions
6d4ed351,Kimberley-Miners-Welfare-FC,Kimberley-Miners-Welfare-FC-Match-Logs-All-Competitions
541eb2b3,Kings-Langley-FC,Kings-Langley-FC-Match-Logs-All-Competitions
0ce564ff,Kings-Lynn-Town-FC,Kings-Lynn-Town-FC-Match-Logs-All-Competitions
1a91ea5d,Kingstonian-FC,Kingstonian-FC-Match-Logs-All-Competitions
20bd71d7,Kirby-Muxloe-SC,Kirby-Muxloe-SC-Match-Logs-All-Competitions
5782545f,Kirkley-and-Pakefield-FC,Kirkley-and-Pakefield-FC-Match-Logs-All-Competitions
d6611ea0,KMSK-Deinze,KMSK-Deinze-Match-Logs-All-Competitions
c8e8c154,Knaphill-FC,Knaphill-FC-Match-Logs-All-Competitions
517eb5d9,Knaresborough-Town-AFC,Knaresborough-Town-AFC-Match-Logs-All-Competitions
b90ae239,Koblenz,Koblenz-Match-Logs-All-Competitions
77193015,Kortrijk,Kortrijk-Match-Logs-All-Competitions
32e7457c,KRC-Mechelen,KRC-Mechelen-Match-Logs-All-Competitions
a25ea964,K-Sports-FC,K-Sports-FC-Match-Logs-All-Competitions
627f4ffc,KSV-Baunatal,KSV-Baunatal-Match-Logs-All-Competitions
557fd964,KSV-Hessen-Kassel,KSV-Hessen-Kassel-Match-Logs-All-Competitions
a556bb54,KSV-Waregem,KSV-Waregem-Match-Logs-All-Competitions
7353c34d,KVV-Coxyde,KVV-Coxyde-Match-Logs-All-Competitions
8f9fe239,KV-Woluwe-Zaventem,KV-Woluwe-Zaventem-Match-Logs-All-Competitions
4299aa91,La-Brede-FC,La-Brede-FC-Match-Logs-All-Competitions
9182296c,La-Fleche-RC,La-Fleche-RC-Match-Logs-All-Competitions
93ebe48c,Lakenheath-FC,Lakenheath-FC-Match-Logs-All-Competitions
11474078,La-Louviere,La-Louviere-Match-Logs-All-Competitions
6aad0791,Lancaster-City-FC,Lancaster-City-FC-Match-Logs-All-Competitions
1fa5410a,Lancing-FC,Lancing-FC-Match-Logs-All-Competitions
25c34bd8,Langford-FC,Langford-FC-Match-Logs-All-Competitions
5fb28978,Langney-Wanderers-FC,Langney-Wanderers-FC-Match-Logs-All-Competitions
8e82c072,Langon-FC,Langon-FC-Match-Logs-All-Competitions
6baa4773,Lannion-FC,Lannion-FC-Match-Logs-All-Competitions
73ed98c8,Larkhall-Athletic-FC,Larkhall-Athletic-FC-Match-Logs-All-Competitions
064ce3d8,La-Roche-VF,La-Roche-VF-Match-Logs-All-Competitions
66cc304a,Laval,Laval-Match-Logs-All-Competitions
59213a14,Laverstock-and-Ford-FC,Laverstock-and-Ford-FC-Match-Logs-All-Competitions
c0ef3731,LC-Bretteville-sur-Odon,LC-Bretteville-sur-Odon-Match-Logs-All-Competitions
d81e9926,Leamington-FC,Leamington-FC-Match-Logs-All-Competitions
7c79be7c,Leatherhead-FC,Leatherhead-FC-Match-Logs-All-Competitions
17baf5f4,Le-Blanc-Mesnil-SF,Le-Blanc-Mesnil-SF-Match-Logs-All-Competitions
2ef75ba1,Leek-Town-FC,Leek-Town-FC-Match-Logs-All-Competitions
5c2737db,Le-Havre,Le-Havre-Match-Logs-All-Competitions
e28a40ad,Leher-TS,Leher-TS-Match-Logs-All-Competitions
23bce84e,Leicester-City-WFC,Leicester-City-WFC-Match-Logs-All-Competitions
a55589fa,Leicester-Nirvana-FC,Leicester-Nirvana-FC-Match-Logs-All-Competitions
fdbea88d,Leicester-Road-FC,Leicester-Road-FC-Match-Logs-All-Competitions
647f02ca,Leighton-Town-FC,Leighton-Town-FC-Match-Logs-All-Competitions
5f058d60,Leiston-FC,Leiston-FC-Match-Logs-All-Competitions
cd5d7aa6,Le-Mans,Le-Mans-Match-Logs-All-Competitions
2a0ed286,Le-Mee-sur-Seine-SF,Le-Mee-sur-Seine-SF-Match-Logs-All-Competitions
