Squad_Code,Year,Name,Text
58ad9383,2022-2023,Predrag-Rajkovic,Predrag-Rajkovic-Match-Logs
c4173f1a,2022-2023,Vito-Mannone,Vito-Mannone-Match-Logs
649b01d8,2022-2023,Emil-Audero,Emil-Audero-Match-Logs
fe558029,2022-2023,Mark-Travers,Mark-Travers-Match-Logs
2f965a72,2022-2023,Alphonse-Areola,Alphonse-Areola-Match-Logs
d28339cb,2022-2023,Fabian-Bredlow,Fabian-Bredlow-Match-Logs
d4b73232,2022-2023,Giorgi-Mamardashvili,Giorgi-Mamardashvili-Match-Logs
b056e3da,2022-2023,Ciprian-Tatarusanu,Ciprian-Tatarusanu-Match-Logs
6f51e382,2022-2023,Marc-Andre-ter-Stegen,Marc-Andre-ter-Stegen-Match-Logs
f41a69e6,2022-2023,Mory-Diaw,Mory-Diaw-Match-Logs
c3e39f12,2022-2023,Fraser-Forster,Fraser-Forster-Match-Logs
73683fa9,2022-2023,Diego-Lopez,Diego-Lopez-Match-Logs
eedea60b,2022-2023,Yehvann-Diouf,Yehvann-Diouf-Match-Logs
db401046,2022-2023,Koen-Casteels,Koen-Casteels-Match-Logs
0e12089d,2022-2023,Maxime-Dupe,Maxime-Dupe-Match-Logs
fd78b105,2022-2023,Mateusz-Lis,Mateusz-Lis-Match-Logs
77d6fd4d,2022-2023,Guglielmo-Vicario,Guglielmo-Vicario-Match-Logs
9328b835,2022-2023,Lukasz-Fabianski,Lukasz-Fabianski-Match-Logs
ac4003af,2022-2023,Marco-Sportiello,Marco-Sportiello-Match-Logs
dc366c36,2022-2023,Tomas-Koubek,Tomas-Koubek-Match-Logs
fc70e345,2022-2023,Stole-Dimitrievski,Stole-Dimitrievski-Match-Logs
9fa26bc2,2022-2023,Vanja-Milinkovic-Savic,Vanja-Milinkovic-Savic-Match-Logs
1840e36d,2022-2023,Thibaut-Courtois,Thibaut-Courtois-Match-Logs
ab13a5aa,2022-2023,Vicente-Guaita,Vicente-Guaita-Match-Logs
53af52f3,2022-2023,Kasper-Schmeichel,Kasper-Schmeichel-Match-Logs
834b5c4c,2022-2023,Matz-Sels,Matz-Sels-Match-Logs
8ec56e62,2022-2023,Marco-Carnesecchi,Marco-Carnesecchi-Match-Logs
9f5a610b,2022-2023,Wladimiro-Falcone,Wladimiro-Falcone-Match-Logs
0d8a37c2,2022-2023,Tobias-Sippel,Tobias-Sippel-Match-Logs
0810b6df,2022-2023,Patrick-Pentz,Patrick-Pentz-Match-Logs
9413b19f,2022-2023,Alex-Meret,Alex-Meret-Match-Logs
ac295d9e,2022-2023,Marko-Dmitrovic,Marko-Dmitrovic-Match-Logs
