Squad_Code,Year,Name,Text
380a15e2,2019-2020,Dimitry-Bertaud,Dimitry-Bertaud-Match-Logs
e40d028b,2019-2020,Gianluigi-Buffon,Gianluigi-Buffon-Match-Logs
17376543,2019-2020,Rafal-Gikiewicz,Rafal-Gikiewicz-Match-Logs
605eb473,2019-2020,Manolo-Reina,Manolo-Reina-Match-Logs
834b5c4c,2019-2020,Matz-Sels,Matz-Sels-Match-Logs
e082af5b,2019-2020,Angus-Gunn,Angus-Gunn-Match-Logs
26975a92,2019-2020,Ludovic-Butelle,Ludovic-Butelle-Match-Logs
2fa2a875,2019-2020,Benjamin-Lecomte,Benjamin-Lecomte-Match-Logs
76806215,2019-2020,Yohann-Pele,Yohann-Pele-Match-Logs
76eca7e2,2019-2020,Wayne-Hennessey,Wayne-Hennessey-Match-Logs
8778c910,2019-2020,Manuel-Neuer,Manuel-Neuer-Match-Logs
cecbce23,2019-2020,Alfred-Gomis,Alfred-Gomis-Match-Logs
67f649be,2019-2020,Ionut-Radu,Ionut-Radu-Match-Logs
cac55e10,2019-2020,Niclas-Thiede,Niclas-Thiede-Match-Logs
7800bdb8,2019-2020,Yannis-Clementia,Yannis-Clementia-Match-Logs
81a606fc,2019-2020,Churripi,Churripi-Match-Logs
7fe12375,2019-2020,Andreas-Luthe,Andreas-Luthe-Match-Logs
3a949a25,2019-2020,Martin-Dubravka,Martin-Dubravka-Match-Logs
e8fd2e5b,2019-2020,Jannik-Huth,Jannik-Huth-Match-Logs
1d2d5cc8,2019-2020,Steve-Mandanda,Steve-Mandanda-Match-Logs
dab1b8dc,2019-2020,Denis-Petric,Denis-Petric-Match-Logs
08f5afaa,2019-2020,Gianluigi-Donnarumma,Gianluigi-Donnarumma-Match-Logs
28a65a2c,2019-2020,Jessy-Moulin,Jessy-Moulin-Match-Logs
24279b8b,2019-2020,Ruben,Ruben-Match-Logs
ab4449d6,2019-2020,Lukasz-Skorupski,Lukasz-Skorupski-Match-Logs
2ee1b96b,2019-2020,Paul-Delecroix,Paul-Delecroix-Match-Logs
75751c99,2019-2020,Ivan-Cuellar,Ivan-Cuellar-Match-Logs
7b456af7,2019-2020,Tomas-Vaclik,Tomas-Vaclik-Match-Logs
0d55d942,2019-2020,Alexander-Schwolow,Alexander-Schwolow-Match-Logs
b5bdf144,2019-2020,Oier-Olazabal,Oier-Olazabal-Match-Logs
a9dc785c,2019-2020,Neto,Neto-Match-Logs
cbac6ec9,2019-2020,Florian-Muller,Florian-Muller-Match-Logs
