Squad_Code,Year,Name,Text
009a4f60,2022-2023,Julian-Ryerson,Julian-Ryerson-Match-Logs
34a88e3e,2022-2023,Edon-Zhegrova,Edon-Zhegrova-Match-Logs
a4995f48,2022-2023,Sergio-Herrera,Sergio-Herrera-Match-Logs
0bdda685,2022-2023,Dexter-Lembikisa,Dexter-Lembikisa-Match-Logs
4fb9c88f,2022-2023,Curtis-Jones,Curtis-Jones-Match-Logs
e61bdd69,2022-2023,Gil-Bastiao-Dias,Gil-Bastiao-Dias-Match-Logs
7d3cbc67,2022-2023,Mehdi-Leris,Mehdi-Leris-Match-Logs
f36016a5,2022-2023,Ramon-Terrats,Ramon-Terrats-Match-Logs
441197b8,2022-2023,Obite-NDicka,Obite-NDicka-Match-Logs
bb376bed,2022-2023,Ivan-Ilic,Ivan-Ilic-Match-Logs
90f87966,2022-2023,Jose-Fonte,Jose-Fonte-Match-Logs
c7069d87,2022-2023,Tonny-Vilhena,Tonny-Vilhena-Match-Logs
41c12f75,2022-2023,Mathias-Olivera,Mathias-Olivera-Match-Logs
b5bb8188,2022-2023,Jean-Onana,Jean-Onana-Match-Logs
b85bf253,2022-2023,Martin-Hongla,Martin-Hongla-Match-Logs
8b6e0db2,2022-2023,Reece-Oxford,Reece-Oxford-Match-Logs
99127249,2022-2023,Antony,Antony-Match-Logs
db001fa9,2022-2023,Alfonso-Espino,Alfonso-Espino-Match-Logs
230c3f3a,2022-2023,Ibrahim-Sulemana,Ibrahim-Sulemana-Match-Logs
acf7e795,2022-2023,David-Zima,David-Zima-Match-Logs
53cad200,2022-2023,Cesar-Azpilicueta,Cesar-Azpilicueta-Match-Logs
db3164e1,2022-2023,Gauthier-Gallon,Gauthier-Gallon-Match-Logs
bbc19252,2022-2023,Mickael-Malsa,Mickael-Malsa-Match-Logs
ac861941,2022-2023,Eric-Dier,Eric-Dier-Match-Logs
19b776e9,2022-2023,Ruben-Sobrino,Ruben-Sobrino-Match-Logs
dcfb17f4,2022-2023,Amine-Adli,Amine-Adli-Match-Logs
edc98fac,2022-2023,Santiago-Bueno,Santiago-Bueno-Match-Logs
531a4aa8,2022-2023,Yan-Valery,Yan-Valery-Match-Logs
652d4c37,2022-2023,Corentin-Tolisso,Corentin-Tolisso-Match-Logs
4fd08daa,2022-2023,Jan-Paul-van-Hecke,Jan-Paul-van-Hecke-Match-Logs
8e16dd48,2022-2023,Luis-Sinisterra,Luis-Sinisterra-Match-Logs
12c50af5,2022-2023,Denis-Suarez,Denis-Suarez-Match-Logs
3061e1ec,2022-2023,Andriy-Lunin,Andriy-Lunin-Match-Logs
f71ad8cb,2022-2023,Charles-Pickel,Charles-Pickel-Match-Logs
9319781b,2022-2023,Ben-Johnson,Ben-Johnson-Match-Logs
5cf5c9ad,2022-2023,Salvatore-Esposito,Salvatore-Esposito-Match-Logs
15413fa5,2022-2023,Salih-Ozcan,Salih-Ozcan-Match-Logs
0728bebe,2022-2023,Gaetano-Castrovilli,Gaetano-Castrovilli-Match-Logs
fed96827,2022-2023,Chris-Mepham,Chris-Mepham-Match-Logs
b6964eb6,2022-2023,Chris-Smalling,Chris-Smalling-Match-Logs
9ba7b4fa,2022-2023,Enzo-Ebosse,Enzo-Ebosse-Match-Logs
a39bb753,2022-2023,Eden-Hazard,Eden-Hazard-Match-Logs
6025fab1,2022-2023,Luka-Modric,Luka-Modric-Match-Logs
30ae134d,2022-2023,Kevin-Behrens,Kevin-Behrens-Match-Logs
9d8cf204,2022-2023,Halil-Dervisoglu,Halil-Dervisoglu-Match-Logs
e92cd3f7,2022-2023,Alexander-Sorloth,Alexander-Sorloth-Match-Logs
ff98492b,2022-2023,Robert-Skov,Robert-Skov-Match-Logs
854ee61a,2022-2023,Gregoire-Defrel,Gregoire-Defrel-Match-Logs
2c38b327,2022-2023,Marko-Pjaca,Marko-Pjaca-Match-Logs
c4b888df,2022-2023,Isaac-Carcelen,Isaac-Carcelen-Match-Logs
8f325097,2022-2023,Nicolas-Cozza,Nicolas-Cozza-Match-Logs
90fcf472,2022-2023,Wesley-Said,Wesley-Said-Match-Logs
35f6db55,2022-2023,Leo-Baptistao,Leo-Baptistao-Match-Logs
9b6f7fd5,2022-2023,Lucas-Paqueta,Lucas-Paqueta-Match-Logs
2b83fa49,2022-2023,Jannes-Horn,Jannes-Horn-Match-Logs
f778fe3f,2022-2023,Luca-DAndrea,Luca-DAndrea-Match-Logs
d4c9725f,2022-2023,Theo-Hernandez,Theo-Hernandez-Match-Logs
f67c9d29,2022-2023,Danilho-Doekhi,Danilho-Doekhi-Match-Logs
9ec9c8b6,2022-2023,Tobias-Mohr,Tobias-Mohr-Match-Logs
ca73910d,2022-2023,Daniele-Montevago,Daniele-Montevago-Match-Logs
e6af02e0,2022-2023,Matheus-Nunes,Matheus-Nunes-Match-Logs
3701906c,2022-2023,Pablo-Ibanez,Pablo-Ibanez-Match-Logs
9c36ed83,2022-2023,Nicolas-Jackson,Nicolas-Jackson-Match-Logs
c06d1086,2022-2023,Paul-Onuachu,Paul-Onuachu-Match-Logs
518f2234,2022-2023,Alex-Baena,Alex-Baena-Match-Logs
60d90c55,2022-2023,Brice-Samba,Brice-Samba-Match-Logs
8b609c34,2022-2023,Wilfried-Singo,Wilfried-Singo-Match-Logs
a53b661f,2022-2023,Ihlas-Bebou,Ihlas-Bebou-Match-Logs
5cbb5ad6,2022-2023,Filippo-Terracciano,Filippo-Terracciano-Match-Logs
dc366c36,2022-2023,Tomas-Koubek,Tomas-Koubek-Match-Logs
eedea60b,2022-2023,Yehvann-Diouf,Yehvann-Diouf-Match-Logs
6a99e0b1,2022-2023,Inaki-Williams,Inaki-Williams-Match-Logs
54e53b7e,2022-2023,Gianluca-Caprari,Gianluca-Caprari-Match-Logs
570bb4b9,2022-2023,Hamed-Junior-Traore,Hamed-Junior-Traore-Match-Logs
2e3995cd,2022-2023,Brian-Ocampo,Brian-Ocampo-Match-Logs
0cf778df,2022-2023,Chris-Fuhrich,Chris-Fuhrich-Match-Logs
0967845b,2022-2023,Fabiano-Parisi,Fabiano-Parisi-Match-Logs
3ee0dd59,2022-2023,Martin-Zubimendi,Martin-Zubimendi-Match-Logs
b136c945,2022-2023,Hans-Nicolussi-Caviglia,Hans-Nicolussi-Caviglia-Match-Logs
c9151d66,2022-2023,Hamza-Sakhi,Hamza-Sakhi-Match-Logs
236f02cd,2022-2023,Joe-Scally,Joe-Scally-Match-Logs
4fb18ca4,2022-2023,Franci-Bouebari,Franci-Bouebari-Match-Logs
