Opponent
pt Paços
pt Porto
pt Rio Ave
pt Sporting CP
pt Vitória
QPR
Rödinghausen
Racing Sant
Rayo Vallecano
RB Leipzig
Reading
Real Madrid
Real Murcia
Real Sociedad
Real Unión
Recreativo
Red Star
Reims
Rennes
Rielasingen
Rizespor
ro CFR Cluj
ro CS U Craiova
ro Dinamo
ro FCSB
Rochdale
Rodez Aveyron
Roma
Rotherham Utd
Rot-Weiß Erfurt
Rot-Weiss Essen
rs Partizan
rs Red Star
ru CSKA Moscow
ru Krasnodar
ru Loko Moscow
ru Spartak Moscow
ru Zenit
RW Essen
Sète
Südtirol
Saarbrücken
Saint-Étienne
Salernitana
Salford City
Sampdoria
Sandhausen
Sant Andreu
Sassuolo
SC Feignies
Schalke 04
Schweinfurt
Schweinfurt 05
sct Celtic
sct Hearts
sct Rangers
SD Almazán
SD Formentera
SD Leioa
se Östersund
se Häcken
se Malmö
Sedan
Senlis
Sestao
Sevilla
S'gart Kickers
Sheffield Utd
Sheffield Weds
Shrewsbury
si NŠ Mura
si NK Domžale
si NK Maribor
Sivasspor
sk Ružomberok
sk Slovan Bratislava
sk Spartak Trnava
SO Chambéry Foot
SO Cholet
Sochaux
Solares SD
Southampton
Southend United
SPAL
Spezia
Sporting Gijón
St. Pauli
Stade Poitevin
Stade Portel
Stevenage
Still 1930
Stockport
Stoke City
St-Pryvé St-H.
Strasbourg
Stuttgart
Sunderland
SV Atlas
SV Oberachern
SV Waldhof
Swansea City
Swindon Town
Türkgücü München
Tenerife
Ternana
Terrassa
Thaon
Tolosa
Torino
Tottenham
Toulouse
Tours
tr Akhisarspor
tr Başakşehir
tr Beşiktaş
tr Fenerbahçe
tr Galatasaray
tr Konyaspor
tr Sivasspor
tr Trabzonspor
Trélissac
Trabzonspor
Tranmere Rovers
Trapani
Troyes
TSV Havelse
TSV Steinbach
ua Desna Chernihiv
ua Dynamo Kyiv
ua FC Oleksandriya
ua Shakhtar
ua Vorskla Poltava
ua Zorya Luhansk
UCAM Murcia
UD Alzira
UD Barbadás
UD Ibiza
UD Llanera
UD Logroñés
UD Mutilvera
UD Sanse
UD Tomares
Udinese
UE Olot
Uerdingen
Ulm
UM Escobedo
Union Berlin
Union Fürstenwalde
Unionistas Sal
US Avranches
US Chauvigny
US Pays de Cassel
US Raon
US Reggina
Valencia
Valenciennes
Valladolid
Vannes
Velarde CF
Venezia
Verl
Versailles
Vicenza Virtus
Victoria CF
Viktoria 1889
Viktoria Köln
Villanovense
Villarreal
Villefranche
Vire
Virtus Entella
Viry-Châtillon
Viterbese
Vitré
VSG Altglienicke
Walsall
Watford
W'burg Kickers
Wehen
Weiche
Werder Bremen
West Brom
West Ham
Wigan Athletic
Wolfsburg
Wolves
Worms
Wuppertaler
Wycombe
Yeclano
Yeni Mal'spor
Yeovil Town
Zamora CF
Zaragoza
